"","Agency responsible for death"
"394","Round Rock Police Department (TX)"
"395","Lexington Police Department (MS)"
"396","Pearland Police Department (TX)"
"397","Douglas County Sheriff's Office (OR)"
"398","North Dakota Highway Patrol (ND)"
"399","Raleigh County Sheriff's Office (WV)"
"400","Glendale Police Department (AZ)"
"401","Knox County Sheriff's Office (TN)"
"402","Irving Police Department (TX)"
"403","Caddo County Sheriff's Office (LA)"
"404","Lakewood Police Department (WA)"
"405","West Columbia Police Department (SC)"
"406","Midwest City Police Department (OK)"
"407","Indiana State Police Department (IN)"
"408","Fremont Police Department (CA)"
"409","Orange County Sheriff's Office (FL)"
"410","Alachua County Sheriff's Office (FL)"
"411","Omaha Police Department (NE)"
"412","Fruita Police Department (CO)"
"413","Alameda County Sheriff's Office (CA)"
"414","Walworth County Sheriff's Office (WI)"
"415","Spokane County Sheriff's Office (WA)"
"416","Orange Police Department (CA)"
"417","Idaho State Police (ID)"
"418","Fullerton Police Department (CA)"
"419","Beloit Police Department (WI)"
"420","Duluth Police Department (MN)"
"421","Sardis Police Department (GA)"
"422","Lancaster Police Department (PA)"
"423","Meriden Police Department (CT)"
"424","Hampden Police Department (ME)"
"425","Okfuskee County Sheriff's Office (OK)"
"426","Thornton Police Department (IL)"
"427","Hudson County Prosecutor's Office (MD)"
"428","Tucson Police Department (AZ)"
"429","Alabama State Police (AL)"
"430","Vallejo Police Department (CA)"
"431","Bradenton Police Department (FL)"
"432","Albemarle County Police Department (VA)"
"433","California Highway Patrol (CA)"
"434","Santa Monica Police Department (CA)"
"435","Washoe County Sheriff's Office (NV)"
"436","Martin County sheriff's Office (FL)"
"437","Fannin Department of Public Safety (TX)"
"438","Caldwell County Sheriff's Office (NC)"
"439","Highland Park Police Department (TX)"
"440","San Diego Police Department (CA)"
"441","Trinity County Sheriff's Office (CA)"
"442","Huron Police Department (CA)"
"443","Larimer County Sheriff's Office (CO)"
"444","South Bend Police Department (IN)"
"445","Gardena Police Department (CA)"
"446","Jefferson County Sheriff's Office (CO)"
"447","Corsicana Police Department (TX)"
"448","North Carolina State Highway Patrol (NC)"
"449","Carteret County Sheriff's Office (NC)"
"450","Loudoun County Sheriff's Office (VA)"
"451","U.S. Marshals Service (AZ)"
"452","Lewis and Clark County Sheriff's Office (MT)"
"453","Oakland Police Department (CA)"
"454","Cumberland County Sheriff's Office (TN)"
"455","Pagedale Police Department (MO)"
"456","Texas Department of Public Safety Highway Patrol (TX)"
"457","New Rochelle Police Department (NY)"
"458","Upper Darby Police Department (PA)"
"459","Salida Police Department (CO)"
"460","Columbia Police Department (SC)"
"461","Michigan State Police Department (MI)"
"462","Weber County Sheriff's Office (UT)"
"463","Sacramento Police Department (CA)"
"464","Lynnwood Police Department (WA)"
"465","Ridgefield Police Department (CT)"
"466","Pierce County Metro SWAT (WA)"
"467","Toledo Police Department (OH)"
"468","Federal Bureau of Investigation (FL)"
"469","Arlington County Sheriff's Office (VA)"
"470","James City County Police Department (VA)"
"471","Norfolk Police Department (VA)"
"472","Longview Police Department (TX)"
"473","Inglewood Police Department (CA)"
"474","Blytheville Police Department (AR)"
"475","Evanston Police Department (WY)"
"476","Nassau Police Department (NY)"
"477","Wake County Sheriff's Office (NC)"
"478","Alhambra Police Department (CA)"
"479","Montebello Police Department (CA)"
"480","University of Akron Police Department (OH)"
"481","Springfield Police Department (MA)"
"482","Hartford Police Department (CT)"
"483","Bothell Police Department (WA)"
"484","Kelso Police Department (WA)"
"485","Trenton Police Department SWAT (NJ)"
"486","St. Louis County Police Department (MO)"
"487","Nebraska State Patrol (NE)"
"488","Missouri State Highway Patrol (MO)"
"489","Minneapolis Police Department (MN)"
"490","Federal Bureau of Investigation (IL)"
"491","Federal Bureau of Investigation (IN)"
"492","Concord Police Department (CA)"
"493","DeLand Police Department (FL)"
"494","Columbia County Multi-Jurisdictional Task Force (FL)"
"495","Cascade County Sheriff's Office (MT)"
"496","Leesburg Police Department (FL)"
"497","Suisun City Police Department (CA)"
"498","Escondido Police Department (CA)"
"499","South Boston Police (VA)"
"500","Department of Homeland Security (TX)"
"501","Fort Wayne Police Department (IN)"
"502","Schenectady Police Department (NY)"
"503","Pawtucket Police Department (RI)"
"504","Detroit Transportation Corporation (MI)"
"505","Paris Police Department (TX)"
"506","Indian State Police (IN)"
"507","Dickenson County Sheriff's Office (VA)"
"508","Tularosa Police Department (NM)"
"509","Vernal Police Department (UT)"
"510","Knox County Sheriff's Department (IN)"
"511","Kaufman County Sheriff's Office (TX)"
"512","Miramar Police Department (FL)"
"513","Scott County Sheriff's Office (KY)"
"514","Bladensburg Police Department (MD)"
"515","Izard County Sheriff's Department (AR)"
"516","San Fernando Police Department (CA)"
"517","Winchester Police Department (IL)"
"518","Gwinnett Police Department (GA)"
"519","Seminole County Sheriff's Office (FL)"
"520","Calumet City Police Department (IL)"
"521","Pleasantville Police Department (NJ)"
"522","Brevard County Sheriff's Office (FL)"
"523","Federal Way Police Department (WA)"
"524","Mississippi Highway Patrol (MS)"
"525","Federal Bureau of Investigation (VA)"
"526","Westfield Police Department (PA)"
"527","Town of Menasha Police Department (WI)"
"528","West Virginia State Police Department (WV)"
"529","Northampton Police Department (PA)"
"530","Watertown Police Department (MA)"
"531","Mt. Morris Township Police (MI)"
"532","Three Rivers Police Department (TX)"
"533","San Francisco Police Department (CA)"
"534","Roswell Police Department (GA)"
"535","Red Bluff Police Department (CA)"
"536","Suwanee Police Department SWAT (GA)"
"537","Raleigh Police Department (NC)"
"538","Westfield Police Department (MA)"
"539","Arizona Department of Public Safety (AZ)"
"540","Sanford Police Department (FL)"
"541","Federal Bureau of Investigation (OH)"
"542","Opa-locka Police Department (FL)"
"543","Pembroke Pines Police Department (FL)"
"544","North Carolina Highway Patrol (NC)"
"545","Willard Police Department (UT)"
"546","Ahlstead Police Department (NH)"
"547","Scottsdale Police Department (AZ)"
"548","Coshocton County Sheriff (OH)"
"549","Bellevue (WA)"
"550","U.S. Border Patrol (TX)"
"551","Joint Criminal Apprehension Team (UT)"
"552","Elmore County' Sheriff's Department (AL)"
"553","Solon Police Department (OH)"
"554","Pomona Police Department (CA)"
"555","Bannock County Sheriff's Department (ID)"
"556","U.S. Marshals Service (NY)"
"557","Martinsburg Police Department (WV)"
"558","Bastrop County Sheriff's Office (TX)"
"559","Bloomington Police Department (IL)"
"560","Bolivar County Sheriff's Office (MS)"
"561","Farmer's Branch Police Department (TX)"
"562","Oakland County Narcotics Enforcement Team (MI)"
"563","Valentine Police Department (NE)"
"564","Willimantic Police Department (CT)"
"565","Warner Robins Police Department (GA)"
"566","Newark Police Department (NJ)"
"567","Middlefield Police Department (OH)"
"568","Iowa City Police Department (IA)"
"569","Jersey City Police Department (NJ)"
"570","Santa Rosa County Sheriff's Office (FL)"
"571","St. Tammany Parish Sheriff's Office (LA)"
"572","Sunnyside Police Department (WA)"
"573","Federal Bureau of Investigation (TN)"
"574","New York State Police (NY)"
"575","U.S. Marshals Service (NC)"
"576","Portland Police Bureau (OR)"
"577","Fort Lauderdale Police Department (FL)"
"578","Douglas County Sheriff's Deputies (OR)"
"579","Daly City Police Department (CA)"
"580","Santa Cruz Police Department (SC)"
"581","Santa Cruz County Sheriff's Office (CA)"
"582","Utah County Sheriff's Office (UT)"
"583","Marion County Sheriff's Office (OR)"
"584","Norwich Police Department (CT)"
"585","South River Police Department (NJ)"
"586","San Joaquin County Sheriff's Office; Stockton Police Department (CA)"
"587","Springfield Police Department (MO)"
"588","Allentown Police Department (PA)"
"589","Northern York County Regional Police Department (PA)"
"590","Northern York County Regional Police (PA)"
"591","Warminster Police Department (PA)"
"592","Federal Bureau of Investigation (NV)"
"593","Alexandria Police Department (VA)"
"594","Green Oak Township Police Department; Michigan State Police (MI)"
"595","Rancho Cordova Police Department (CA)"
"596","Grapevine Police Department (TX)"
"597","Davie Police Department (FL)"
"598","Jamestown Police Department (NY)"
"599","Tulsa Police Department (OK)"
"600","Monterey Park Police Department (CA)"
"601","Berkeley Police Department (CA)"
"602","California Department of Corrections and Rehabilitation (CA)"
"603","Billings Police Department (MT)"
"604","Dayton Police Department (OH)"
"605","Barry County Sheriff's Office (MI)"
"606","Pocahontas Police Department (AR)"
"607","Federal Bureau of Investigation (AL)"
"608","Harlingen Police Department (TX)"
"609","Copperas Cove Police Department (TX)"
"610","Denver County Sheriff's Office (CO)"
"611","Catawba County Sheriff's Office (NC)"
"612","Madison County S.W.A.T. Team (AL)"
"613","Haltom City Police Department (TX)"
"614","Mayes County Sheriff's Office (OK)"
"615","Harrisburg Bureau of Police Department (PA)"
"616","Homewood Police Department (IL)"
"617","U.S. Marshals Service (WA)"
"618","St. John Parish Sheriff's Office (LA)"
"619","Kalamazoo Department of Public Safety (MI)"
