"","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","explicit","track_name","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"65",2012,0.605,0.74,2,-8.084,1,0.0842,0.0217,0.00192,0.115,0.0767,197.961,194013,FALSE,"Creepers","https://open.spotify.com/track/51PO0Md0UhUWdzN4hcEuiN","Good Music Cruel Summer","D","major","D major"
"66",2012,0.356,0.66,3,-8.216,1,0.0401,0.0127,0,0.445,0.411,76.368,210013,FALSE,"Bliss","https://open.spotify.com/track/62I2M5Nz5VdCLygDMgDZUM","Good Music Cruel Summer","D#","major","D# major"
"67",2012,0.499,0.604,2,-5.443,1,0.296,0.00708,0,0.113,0.626,132.069,282880,FALSE,"Don't Like.1","https://open.spotify.com/track/51mK2xGop7WMDVeuHLvhWP","Good Music Cruel Summer","D","major","D major"
"68",2011,0.654,0.751,8,-7.508,0,0.105,0.244,0.0179,0.167,0.568,92.774,272506,TRUE,"No Church In The Wild","https://open.spotify.com/track/7Ct3wqpGLbNrrG617S00B3","Watch The Throne","G#","minor","G# minor"
"69",2011,0.403,0.784,2,-7.584,0,0.171,0.187,0.00177,0.165,0.275,179.427,266253,TRUE,"Lift Off","https://open.spotify.com/track/4lwdrztjT9XLAeOP8FplSv","Watch The Throne","D","minor","D minor"
"70",2011,0.788,0.859,1,-5.542,1,0.315,0.127,0,0.348,0.769,140.027,219333,TRUE,"Ni**as In Paris","https://open.spotify.com/track/7fQmDkqrrj13kxv4Vle3AM","Watch The Throne","C#","major","C# major"
"71",2011,0.755,0.631,7,-4.751,0,0.302,0.552,0,0.5,0.433,94.571,178213,TRUE,"Otis","https://open.spotify.com/track/0nLcWJB4ir9430ulKxZZhV","Watch The Throne","G","minor","G minor"
"72",2011,0.74,0.574,4,-6.938,1,0.245,0.411,0,0.262,0.33,149.762,140746,TRUE,"Gotta Have It","https://open.spotify.com/track/6JFLZH9vCzgqnUToBdiHQb","Watch The Throne","E","major","E major"
"73",2011,0.561,0.645,10,-6.809,0,0.0705,0.389,7.05e-05,0.142,0.359,91.005,272853,TRUE,"New Day","https://open.spotify.com/track/0tehxJrW3U8vXsJokXjywD","Watch The Throne","A#","minor","A# minor"
"74",2011,0.745,0.871,7,-6.291,1,0.113,0.237,0.000293,0.121,0.495,108.985,202560,TRUE,"That's My Bitch","https://open.spotify.com/track/3qAqpUIv2ry0g0BAMuE5Kd","Watch The Throne","G","major","G major"
"75",2011,0.636,0.93,2,-5.179,1,0.364,0.0128,3.7e-06,0.18,0.325,92.899,174133,TRUE,"Welcome To The Jungle","https://open.spotify.com/track/6bJDXckt81F0TfU1c3A4Ah","Watch The Throne","D","major","D major"
"76",2011,0.594,0.73,0,-4.638,0,0.159,0.0408,0.000164,0.715,0.378,133.88,256706,TRUE,"Who Gon Stop Me","https://open.spotify.com/track/2eqOjSC8dY1iFrQiJGPDOX","Watch The Throne","C","minor","C minor"
"77",2011,0.566,0.816,1,-4.741,1,0.32,0.024,0,0.0804,0.578,87.353,300960,TRUE,"Murder To Excellence","https://open.spotify.com/track/6IE4ozG51DjyY5Iuh82hqn","Watch The Throne","C#","major","C# major"
"78",2011,0.71,0.729,11,-7.01,0,0.219,0.043,5.88e-05,0.224,0.55,165.899,292066,TRUE,"Made In America","https://open.spotify.com/track/15kwOUhZh4wLBhXALRdH2j","Watch The Throne","B","minor","B minor"
"79",2011,0.481,0.805,5,-4.132,1,0.0419,0.0261,0,0.267,0.373,123.441,201453,TRUE,"Why I Love You","https://open.spotify.com/track/1RcOY4L1XFV9o5q4LUjRtP","Watch The Throne","F","major","F major"
"80",2010,0.59,0.587,5,-5.919,1,0.0457,0.274,0,0.167,0.367,88.015,280786,TRUE,"Dark Fantasy","https://open.spotify.com/track/7yNK27ZTpHew0c55VvIJgm","MBDTF","F","major","F major"
"81",2010,0.603,0.713,1,-3.625,0,0.0317,0.0207,0.000179,0.431,0.12,91.953,357653,TRUE,"Gorgeous","https://open.spotify.com/track/23SZWX2IaDnxmhFsSLvkG2","MBDTF","C#","minor","C# minor"
"82",2010,0.543,0.915,0,-4.746,0,0.113,0.0162,0,0.744,0.577,153.998,292093,TRUE,"POWER","https://open.spotify.com/track/2gZUPNdnz5Y45eiGxpHGSc","MBDTF","C","minor","C minor"
"83",2010,0.296,0.0792,10,-16.569,0,0.0392,0.902,0.591,0.128,0.497,111.272,62253,TRUE,"All Of The Lights","https://open.spotify.com/track/4D6TpthzUVNTjWQqfBW5Kb","MBDTF","A#","minor","A# minor"
